datetime,open,high,low,close,volume
2023-07-04 09:35:00,33355,33355,33330,33335,136
2023-07-04 09:36:00,33340,33355,33340,33345,201
2023-07-04 09:37:00,33350,33350,33345,33345,60
2023-07-04 09:38:00,33345,33345,33330,33335,87
2023-07-04 09:39:00,33330,33330,33315,33325,132
2023-07-04 09:40:00,33330,33345,33330,33345,88
2023-07-04 09:41:00,33345,33355,33335,33350,100
2023-07-04 09:42:00,33350,33350,33330,33340,77
2023-07-04 09:43:00,33345,33345,33340,33340,48
2023-07-04 09:44:00,33340,33345,33335,33345,88
2023-07-04 09:45:00,33345,33365,33345,33365,126
2023-07-04 09:46:00,33360,33360,33340,33345,87
2023-07-04 09:47:00,33340,33340,33335,33335,72
2023-07-04 09:48:00,33335,33340,33330,33340,59
2023-07-04 09:49:00,33345,33355,33345,33355,43
2023-07-04 09:50:00,33360,33380,33360,33375,84
2023-07-04 09:51:00,33375,33380,33360,33380,109
2023-07-04 09:52:00,33375,33375,33365,33375,56
2023-07-04 09:53:00,33375,33380,33375,33380,71
2023-07-04 09:54:00,33380,33380,33370,33370,43
2023-07-04 09:55:00,33370,33375,33360,33375,72
2023-07-04 09:56:00,33375,33380,33375,33375,29
2023-07-04 09:57:00,33370,33375,33370,33375,22
2023-07-04 09:58:00,33375,33375,33365,33365,44
2023-07-04 09:59:00,33370,33375,33370,33375,14
2023-07-04 10:00:00,33370,33370,33350,33360,50
2023-07-04 10:01:00,33360,33380,33360,33370,57
2023-07-04 10:02:00,33375,33380,33375,33375,23
2023-07-04 10:03:00,33375,33380,33375,33375,38
2023-07-04 10:04:00,33380,33380,33375,33380,49
2023-07-04 10:05:00,33380,33380,33375,33380,50
2023-07-04 10:06:00,33375,33375,33355,33355,135
2023-07-04 10:07:00,33355,33355,33345,33355,55
2023-07-04 10:08:00,33355,33355,33350,33350,18
2023-07-04 10:09:00,33345,33345,33325,33325,89
2023-07-04 10:10:00,33325,33335,33325,33335,72
2023-07-04 10:11:00,33335,33335,33325,33330,48
2023-07-04 10:12:00,33325,33335,33325,33330,100
2023-07-04 10:13:00,33325,33340,33320,33340,87
2023-07-04 10:14:00,33340,33350,33340,33345,121
2023-07-04 10:15:00,33340,33365,33340,33365,112
2023-07-04 10:16:00,33365,33370,33355,33355,50
2023-07-04 10:17:00,33350,33355,33345,33350,29
2023-07-04 10:18:00,33350,33375,33350,33375,80
2023-07-04 10:19:00,33375,33380,33375,33380,41
2023-07-04 10:20:00,33380,33380,33375,33375,17
2023-07-04 10:21:00,33380,33380,33375,33380,57
2023-07-04 10:22:00,33380,33385,33375,33375,17
2023-07-04 10:23:00,33375,33380,33370,33375,11
2023-07-04 10:24:00,33375,33375,33370,33370,30
2023-07-04 10:25:00,33370,33370,33365,33365,52
2023-07-04 10:26:00,33370,33375,33370,33375,20
2023-07-04 10:27:00,33375,33380,33375,33375,39
2023-07-04 10:28:00,33380,33395,33380,33390,52
2023-07-04 10:29:00,33390,33405,33390,33405,120
2023-07-04 10:30:00,33400,33420,33400,33405,82
2023-07-04 10:31:00,33405,33405,33390,33390,56
2023-07-04 10:32:00,33395,33400,33395,33395,17
2023-07-04 10:33:00,33400,33415,33400,33410,28
2023-07-04 10:34:00,33410,33415,33410,33415,21
2023-07-04 10:35:00,33420,33420,33415,33415,22
2023-07-04 10:36:00,33410,33415,33410,33415,6
2023-07-04 10:37:00,33415,33425,33415,33425,23
2023-07-04 10:38:00,33425,33425,33425,33425,5
2023-07-04 10:39:00,33420,33425,33420,33425,22
2023-07-04 10:40:00,33425,33425,33410,33415,23
2023-07-04 10:41:00,33410,33410,33400,33405,23
2023-07-04 10:42:00,33400,33400,33395,33395,15
2023-07-04 10:43:00,33405,33410,33400,33405,22
2023-07-04 10:44:00,33410,33415,33410,33410,22
2023-07-04 10:45:00,33410,33415,33405,33410,67
2023-07-04 10:46:00,33410,33420,33410,33420,31
2023-07-04 10:47:00,33415,33420,33410,33410,75
2023-07-04 10:48:00,33405,33405,33400,33405,9
2023-07-04 10:49:00,33405,33405,33400,33405,13
2023-07-04 10:50:00,33405,33405,33400,33400,3
2023-07-04 10:51:00,33405,33405,33395,33395,89
2023-07-04 10:52:00,33395,33395,33390,33390,21
2023-07-04 10:53:00,33390,33390,33385,33390,30
2023-07-04 10:54:00,33390,33395,33390,33395,13
2023-07-04 10:55:00,33390,33390,33385,33385,40
2023-07-04 10:56:00,33385,33390,33375,33375,72
2023-07-04 10:57:00,33375,33380,33375,33375,53
2023-07-04 10:58:00,33380,33380,33370,33375,78
2023-07-04 10:59:00,33380,33380,33375,33375,35
2023-07-04 11:00:00,33375,33375,33365,33365,55
2023-07-04 11:01:00,33370,33370,33365,33365,55
2023-07-04 11:02:00,33365,33375,33365,33370,48
2023-07-04 11:04:00,33365,33370,33360,33370,20
2023-07-04 11:05:00,33370,33370,33355,33365,71
2023-07-04 11:06:00,33360,33365,33355,33360,60
2023-07-04 11:07:00,33360,33360,33355,33355,16
2023-07-04 11:08:00,33360,33365,33355,33355,50
2023-07-04 11:09:00,33355,33355,33355,33355,15
